run_id,missing_count,missing_files,baseline_rows,new_tests_rows,new_tests_pass,new_tests_observed
research_20260304T010824Z_5066,1,tests/expert_questions_matrix.csv,82,15,8,6
research_20260304T012047Z_8476,0,,92,19,11,8
research_20260304T013111Z_11882,0,,114,22,12,10
research_20260304T030956Z_5127,0,,114,22,12,10
research_20260304T033153Z_7513,0,,114,22,12,10
research_20260304T034356Z_11490,0,,114,26,16,10
research_20260304T040513Z_5355,0,,114,34,18,16
research_20260304T185430Z_173,0,,114,34,18,16
research_20260304T185929Z_1030,1,logs/checksums.sha256,88,0,0,0
research_20260304T225101Z_1218,1,logs/checksums.sha256,114,34,18,16
research_20260304T225225Z_1333,0,,114,34,18,16
research_20260305T002238Z_5054,0,,114,34,18,16
research_20260305T004031Z_1267,0,,114,34,18,16
research_20260305T005741Z_2427,0,,114,34,18,16
research_20260305T040255Z_751,0,,114,34,18,16
research_20260305T045003Z_3384,0,,114,34,18,16
research_20260305T052500Z_1198,0,,114,34,18,16
research_20260305T120003Z_1855,0,,114,34,18,16
research_20260305T160028Z_1208,0,,114,34,18,16
research_20260305T181616Z_528,0,,88,0,0,0
research_20260305T181842Z_2167,0,,114,34,18,16
research_20260305T190831Z_3632,0,,114,34,18,16
research_20260305T191505Z_4650,0,,114,34,18,16
research_20260305T200423Z_6233,0,,114,34,18,16
research_20260305T200804Z_6449,0,,114,34,18,16
