module,lx,ly,t_eV,u_eV,mu_eV,temp_K,dt,steps
hubbard_hts_core,10,10,1.0,8.0,0.2,95.0,0.01,2800
qcd_lattice_fullscale,9,9,0.7,9.0,0.1,140.0,0.01,2200
quantum_field_noneq,8,8,1.3,7.0,0.05,180.0,0.01,2100
dense_nuclear_fullscale,9,8,0.8,11.0,0.3,80.0,0.01,2100
quantum_chemistry_fullscale,8,7,1.6,6.5,0.4,60.0,0.01,2200
spin_liquid_exotic,12,10,0.9,10.5,0.12,55.0,0.01,2600
topological_correlated_materials,11,11,1.1,7.8,0.15,70.0,0.01,2500
correlated_fermions_non_hubbard,10,9,1.2,8.6,0.18,85.0,0.01,2400
multi_state_excited_chemistry,9,9,1.5,6.8,0.22,48.0,0.01,2300
bosonic_multimode_systems,10,8,0.6,5.2,0.06,110.0,0.01,2200
multiscale_nonlinear_field_models,12,8,1.4,9.2,0.10,125.0,0.01,2300
far_from_equilibrium_kinetic_lattices,11,9,1.0,8.0,0.09,150.0,0.01,2400
multi_correlated_fermion_boson_networks,10,10,1.05,7.4,0.14,100.0,0.01,2350
