problem,proxy_energy,advanced_energy,delta_energy,delta_energy_pct,proxy_pairing,advanced_pairing,delta_pairing,delta_pairing_pct,proxy_elapsed_ns,advanced_elapsed_ns
bosonic_multimode_systems,-0.0704642093,-0.0704642093,0.0,0.0,0.9328802016,0.9328802016,0.0,0.0,1307455089,1280850615
correlated_fermions_non_hubbard,-0.1865079805,-0.1865079805,0.0,0.0,0.9512048623,0.9512048623,0.0,0.0,1183654629,1254546965
dense_nuclear_proxy,-0.0450423537,-0.0450423537,0.0,0.0,0.9487775861,0.9487775861,0.0,0.0,1036786629,1063654426
far_from_equilibrium_kinetic_lattices,-0.1732408341,-0.1732408341,0.0,0.0,0.9263699645,0.9263699645,0.0,0.0,1186651960,1189871026
hubbard_hts_core,-0.1426978513,-0.1426978513,0.0,0.0,0.9450982742,0.9450982742,0.0,0.0,1385835949,1416449605
multi_correlated_fermion_boson_networks,-0.20202595,-0.20202595,0.0,0.0,0.9473697227,0.9473697227,0.0,0.0,1164680479,1193602415
multi_state_excited_chemistry,-0.2928351493,-0.2928351493,0.0,0.0,0.9702019852,0.9702019852,0.0,0.0,1146657059,1262140495
multiscale_nonlinear_field_models,-0.2341092794,-0.2341092794,0.0,0.0,0.9303610515,0.9303610515,0.0,0.0,1169491499,1201767666
qcd_lattice_proxy,-0.0566371128,-0.0566371128,0.0,0.0,0.9183643772,0.9183643772,0.0,0.0,1076018059,1095407676
quantum_chemistry_proxy,-0.2803193978,-0.2803193978,0.0,0.0,0.9560868416,0.9560868416,0.0,0.0,1073458079,1110919345
quantum_field_noneq,-0.2039803879,-0.2039803879,0.0,0.0,0.8905726415,0.8905726415,0.0,0.0,1025244049,1046831576
spin_liquid_exotic,-0.1358075145,-0.1358075145,0.0,0.0,0.9733711359,0.9733711359,0.0,0.0,1276107059,1377022255
topological_correlated_materials,-0.206112866,-0.206112866,0.0,0.0,0.9639680167,0.9639680167,0.0,0.0,1242742499,1220251165
