problem,model_id,hamiltonian_id,schema_version,lattice_size,lattice_sites,geometry,boundary_conditions,t,U,u_over_t,mu,T,dt,time_step,seed,solver_version,method
bosonic_multimode_systems,lumvorax_proxy_bosonic_multimode_v1,bosonic_multimode_proxy,2.1,10x8,80,rectangular,periodic_proxy,0.6,5.2,8.666666666666668,0.06,110.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
correlated_fermions_non_hubbard,lumvorax_proxy_corr_fermions_v1,extended_fermionic_proxy,2.1,10x9,90,rectangular,periodic_proxy,1.2,8.6,7.166666666666667,0.18,85.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
dense_nuclear_proxy,lumvorax_proxy_nuclear_v4next,dense_nuclear_proxy,2.0,9x8,72,rectangular,periodic_proxy,0.8,11.0,13.75,0.3,80.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
far_from_equilibrium_kinetic_lattices,lumvorax_proxy_far_from_eq_v1,noneq_kinetic_lattice_proxy,2.1,11x9,99,rectangular,periodic_proxy,1.0,8.0,8.0,0.09,150.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
hubbard_hts_core,lumvorax_proxy_hubbard_v4next,hubbard_2d_single_band,2.0,10x10,100,square,periodic_proxy,1.0,8.0,8.0,0.2,95.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
multi_correlated_fermion_boson_networks,lumvorax_proxy_fermion_boson_network_v1,mixed_fermion_boson_network_proxy,2.1,10x10,100,square,periodic_proxy,1.05,7.4,7.0476190476190474,0.14,100.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
multi_state_excited_chemistry,lumvorax_proxy_excited_qchem_v1,excited_state_electronic_proxy,2.1,9x9,81,square,periodic_proxy,1.5,6.8,4.533333333333333,0.22,48.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
multiscale_nonlinear_field_models,lumvorax_proxy_multiscale_field_v1,rh_like_multiscale_field_proxy,2.1,12x8,96,rectangular,periodic_proxy,1.4,9.2,6.571428571428571,0.1,125.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
qcd_lattice_proxy,lumvorax_proxy_qcd_v4next,lattice_qcd_proxy,2.0,9x9,81,square,periodic_proxy,0.7,9.0,12.857142857142858,0.1,140.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
quantum_chemistry_proxy,lumvorax_proxy_qchem_v4next,electronic_structure_proxy,2.0,8x7,56,rectangular,periodic_proxy,1.6,6.5,4.0625,0.4,60.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
quantum_field_noneq,lumvorax_proxy_qft_v4next,noneq_field_proxy,2.0,8x8,64,square,periodic_proxy,1.3,7.0,5.384615384615384,0.05,180.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
spin_liquid_exotic,lumvorax_proxy_spin_liquid_v1,frustrated_spin_liquid_proxy,2.1,12x10,120,rectangular,periodic_proxy,0.9,10.5,11.666666666666666,0.12,55.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
topological_correlated_materials,lumvorax_proxy_topological_corr_v1,chern_correlated_proxy,2.1,11x11,121,square,periodic_proxy,1.1,7.8,7.09090909090909,0.15,70.0,1.0,1.0,deterministic_proxy_seed,hubbard_hts_research_runner_v4next,advanced_proxy_deterministic
