mode,run,seed,rc,wins,losses,win_rate,nqubits_per_sec,nqubit_avg_score,baseline_avg_score,latency_p50_ns,latency_p95_ns,latency_p99_ns,used_hardware_entropy,margin_mean,margin_std,scenario_latency_mean_ns
hardware_preferred,0,0,0,216,144,0.6,7892191.413,0.958603514061,0.944248598015,170910,210510,263210,True,0.014354916046441667,0.050042274960722034,163441.91666666666
hardware_preferred,1,0,0,236,124,0.655555555556,8652307.042,0.961308614194,0.937619089563,138160,207670,241930,True,0.023689524630349998,0.05347548957513797,150867.83333333334
hardware_preferred,2,0,0,228,132,0.633333333333,7891295.649,0.962890545003,0.938663427151,139550,210019,267160,True,0.024227117852244445,0.054253545250141824,165093.08055555556
hardware_preferred,3,0,0,230,130,0.638888888889,8202070.372,0.961362592519,0.938041601833,161430,203380,228340,True,0.023320990686877777,0.05366844761856219,157935.25
hardware_preferred,4,0,0,242,118,0.672222222222,8546972.311,0.962485395436,0.937159317245,150680,197300,222050,True,0.025326078190708333,0.05175917569473176,153857.33055555556
hardware_preferred,5,0,0,247,113,0.686111111111,8610702.601,0.962864151415,0.936983266475,141850,194740,223930,True,0.025880884940191664,0.05063645506866377,152145.6638888889
hardware_preferred,6,0,0,237,123,0.658333333333,8981464.503,0.962270344071,0.937466243962,135830,183080,216600,True,0.024804100109094444,0.05340922587817854,145840.47222222222
hardware_preferred,7,0,0,230,130,0.638888888889,9339831.608,0.960592556635,0.938438885173,129200,179550,205420,True,0.022153671462372224,0.05365006322981217,140311.72222222222
hardware_preferred,8,0,0,240,120,0.666666666667,8942874.197,0.962636755011,0.937923760861,135030,195060,211390,True,0.02471299415011389,0.050381206311599105,146683.75
hardware_preferred,9,0,0,238,122,0.661111111111,8300701.612,0.960117486141,0.936430037276,160730,201610,234510,True,0.023687448865452775,0.054324476458991244,158804.30277777778
hardware_preferred,10,0,0,231,129,0.641666666667,8998319.243,0.961345421268,0.940409565772,140120,185450,209380,True,0.020935855496408334,0.04886628396196402,146809.11111111112
hardware_preferred,11,0,0,247,113,0.686111111111,8920342.931,0.963491298825,0.938260004153,132170,187150,224270,True,0.025231294671227776,0.05413083999852051,146950.61111111112
hardware_preferred,12,0,0,248,112,0.688888888889,8159101.178,0.963140584267,0.938320784103,160140,219990,224060,True,0.024819800163791667,0.04821393901259664,160955.11111111112
hardware_preferred,13,0,0,226,134,0.627777777778,8010012.516,0.958658217107,0.935137477404,170940,207530,247900,True,0.02352073970308889,0.055271098876884604,163812.77777777778
hardware_preferred,14,0,0,249,111,0.691666666667,8199309.732,0.963486104943,0.935825664248,163800,206380,227060,True,0.027660440695425,0.05301636678471398,159690.88333333333
hardware_preferred,15,0,0,240,120,0.666666666667,8306986.67,0.960899494291,0.936760345205,151290,203470,258540,True,0.024139149086008335,0.05054486626194014,157363.25
hardware_preferred,16,0,0,236,124,0.655555555556,8477564.202,0.9610443895,0.938709594018,147690,194350,228050,True,0.022334795481808334,0.05274436997982728,154279.60833333334
hardware_preferred,17,0,0,224,136,0.622222222222,6978647.374,0.961221144679,0.941019600312,179870,234040,345600,True,0.020201544367219444,0.04901281192584161,187805.33055555556
hardware_preferred,18,0,0,240,120,0.666666666667,8376875.635,0.960151029527,0.940536911766,141060,216610,280480,True,0.019614117761672222,0.04946952712895728,155965.5
hardware_preferred,19,0,0,243,117,0.675,8436483.714,0.963476396472,0.937921818315,149210,194481,227750,True,0.025554578156983334,0.05214510296417011,155264.9138888889
hardware_preferred,20,0,0,231,129,0.641666666667,7599063.862,0.959241830126,0.939360905322,177750,222520,268150,True,0.019880924804655555,0.05225183216470837,172727.08333333334
hardware_preferred,21,0,0,233,127,0.647222222222,5056750.486,0.958302590894,0.937149457842,180780,405870,1071320,True,0.02115313305179722,0.05204124363943866,228550.14166666666
hardware_preferred,22,0,0,239,121,0.663888888889,5925193.724,0.962280125207,0.935477200965,181880,269280,538060,True,0.026802924242227775,0.05122090049096002,220670.16666666666
hardware_preferred,23,0,0,248,112,0.688888888889,7524916.207,0.962959023652,0.936963939875,176470,223930,327740,True,0.02599508377694722,0.05183863992424324,173071.86111111112
hardware_preferred,24,0,0,257,103,0.713888888889,7144795.331,0.962058071587,0.931610865191,166880,283350,621010,True,0.030447206395466667,0.05544718948410931,183546.44444444444
hardware_preferred,25,0,0,231,129,0.641666666667,7790581.864,0.960407446895,0.9414141299,157440,239500,434050,True,0.01899331699452778,0.049671117181313985,169310.83055555556
hardware_preferred,26,0,0,235,125,0.652777777778,7848639.608,0.961871598707,0.939735075239,178250,218820,231280,True,0.022136523468269446,0.051056719515293,167696.80555555556
hardware_preferred,27,0,0,231,129,0.641666666667,8642538.585,0.960621870802,0.940149832576,141590,195500,222160,True,0.02047203822687778,0.052295088608197954,152227.35833333334
hardware_preferred,28,0,0,251,109,0.697222222222,7459348.769,0.963960667503,0.937556386361,180400,222790,251810,True,0.026404281142144444,0.05207110722602512,175740.33333333334
hardware_preferred,29,0,0,238,122,0.661111111111,7376878.579,0.962604543115,0.940437936595,180060,228890,277000,True,0.02216660652010278,0.05192084919327062,177892.0
deterministic_seeded,0,1,0,247,113,0.686111111111,8153554.863,0.962723751798,0.940151442496,159370,215320,272500,False,0.022572309302347222,0.04726312032607912,160862.2472222222
deterministic_seeded,1,2,0,244,116,0.677777777778,7067264.654,0.964751083615,0.941196772426,182550,225440,280150,False,0.023554311188763888,0.051096520531153364,182922.75
deterministic_seeded,2,3,0,232,128,0.644444444444,7065831.964,0.961350553693,0.940048574945,180460,235410,312690,False,0.021301978748480555,0.05133401536778466,184903.66666666666
deterministic_seeded,3,4,0,238,122,0.661111111111,7388314.522,0.961752171061,0.939304730635,181200,232990,299390,False,0.022447440425925003,0.04885956098129349,178213.72222222222
deterministic_seeded,4,5,0,229,131,0.636111111111,8284153.023,0.960279671985,0.942190655381,157170,197750,229110,False,0.018089016604091665,0.048316849245074144,157828.33333333334
deterministic_seeded,5,6,0,237,123,0.658333333333,7212885.304,0.963872240068,0.941370848251,180360,217170,238930,False,0.022501391817008335,0.05191436786640746,180313.11111111112
deterministic_seeded,6,7,0,230,130,0.638888888889,7227722.549,0.960779211338,0.940508284782,179340,222370,279270,False,0.02027092655641389,0.05191364392268776,180458.96944444443
deterministic_seeded,7,8,0,248,112,0.688888888889,8058223.865,0.96146624983,0.93653192143,170900,191720,226880,False,0.024934328400530555,0.05104614851505948,164827.88888888888
deterministic_seeded,8,9,0,231,129,0.641666666667,7578117.764,0.963755271045,0.941333310634,179010,228830,283850,False,0.022421960410836113,0.05180803043888159,172978.94444444444
deterministic_seeded,9,10,0,230,130,0.638888888889,7934026.804,0.962068006452,0.943077058577,163470,204650,235940,False,0.018990947875394446,0.049088176293993285,165720.80277777778
deterministic_seeded,10,11,0,238,122,0.661111111111,8399944.0,0.960595824205,0.937016257483,149490,206060,226200,False,0.023579566722294443,0.05303062812335781,157688.77777777778
deterministic_seeded,11,12,0,226,134,0.627777777778,7585799.798,0.960198908618,0.937343619012,180930,221370,235150,False,0.02285528960553611,0.055064792731142106,173326.58055555556
deterministic_seeded,12,13,0,229,131,0.636111111111,7771112.49,0.96271975317,0.938727938494,180990,218310,251210,False,0.023991814676088886,0.0544825583640707,169416.6611111111
deterministic_seeded,13,14,0,227,133,0.630555555556,7828373.474,0.960030961856,0.941106844148,180820,216420,225540,False,0.018924117707894445,0.051904100759032845,168805.86111111112
deterministic_seeded,14,15,0,233,127,0.647222222222,7833868.64,0.959922500896,0.936318099014,174209,226910,240330,False,0.023604401882858332,0.0542133128164283,168340.80277777778
deterministic_seeded,15,16,0,226,134,0.627777777778,6542587.787,0.963398477518,0.940246135079,184140,214410,256280,False,0.023152342439355555,0.052107188928703994,203075.10833333334
deterministic_seeded,16,17,0,224,136,0.622222222222,8167101.489,0.960884716809,0.938694710925,155990,197050,225970,False,0.022190005884744443,0.0523734687958911,160955.0
deterministic_seeded,17,18,0,237,123,0.658333333333,8722566.468,0.959741274732,0.936014624942,140440,192100,219350,False,0.02372664978973611,0.05323894985264082,150354.33055555556
deterministic_seeded,18,19,0,246,114,0.683333333333,8547455.14,0.962257402639,0.938759157356,144540,195210,214830,False,0.02349824528283889,0.05332444716173693,154089.08055555556
deterministic_seeded,19,20,0,251,109,0.697222222222,7479628.031,0.963390143571,0.937210184421,180940,215160,229360,False,0.02617995915067222,0.04890798165647818,174129.47222222222
deterministic_seeded,20,21,0,236,124,0.655555555556,7898130.539,0.962514471869,0.937252273122,179290,210640,222340,False,0.025262198746872223,0.054757015022470344,166494.30277777778
deterministic_seeded,21,22,0,238,122,0.661111111111,8297809.708,0.960281030552,0.936885262096,155980,207560,227220,False,0.023395768455769444,0.05066083597241885,158961.41666666666
deterministic_seeded,22,23,0,260,100,0.722222222222,7824576.716,0.963255918086,0.933361965234,179620,215890,225080,False,0.029893952852008333,0.05133284695545252,167930.47222222222
deterministic_seeded,23,24,0,249,111,0.691666666667,8161877.364,0.962772597058,0.938144168802,162040,205330,225060,False,0.024628428256641667,0.04820118479052832,161557.69166666668
deterministic_seeded,24,25,0,230,130,0.638888888889,8036686.838,0.961914614106,0.937291556806,173830,206820,227840,False,0.024623057300744444,0.05104743634326343,163402.36111111112
deterministic_seeded,25,26,0,237,123,0.658333333333,8609717.067,0.959168777685,0.933196221966,143010,194020,217090,False,0.025972555718427777,0.05436885091934999,152074.1638888889
deterministic_seeded,26,27,0,234,126,0.65,7704981.163,0.960629028481,0.940604108576,177960,213520,227580,False,0.020024919905891666,0.051361001092461916,170947.71944444443
deterministic_seeded,27,28,0,235,125,0.652777777778,8271901.336,0.960856808941,0.937381748234,160640,196520,224340,False,0.023475060707741666,0.05383790997555153,158666.02777777778
deterministic_seeded,28,29,0,241,119,0.669444444444,7872241.148,0.96213908428,0.936709959942,180390,202580,233790,False,0.025429124337986112,0.05187435931047229,166345.025
deterministic_seeded,29,30,0,225,135,0.625,7782538.578,0.961725524214,0.940835483961,179720,204390,226340,False,0.02089004025323889,0.05072368263485588,169579.52777777778
