name,participant_type,circuit,qubits,shots,gate_count,ok,time_s,shots_per_s,gates_per_s,cpu_user_s,cpu_sys_s,cpu_total_s,cpu_util_pct_of_1core,child_maxrss_mb,error
Qulacs,competitor,ghz,4,16384,4,True,0.192797,84980.6,20.747,0.28823,0.047384,0.335614,174.076,337.121,
Qulacs,competitor,ghz,9,16384,9,True,0.214693,76313.697,41.92,0.306144,0.051079,0.357223,166.388,337.121,
Qulacs,competitor,ghz,14,16384,14,True,0.193843,84521.823,72.223,0.283718,0.04793,0.331648,171.091,337.121,
Qulacs,competitor,ghz,19,16384,19,True,0.231151,70880.145,82.197,0.344932,0.075343,0.420275,181.819,337.121,
Qulacs,competitor,ghz,24,16384,24,True,2.020936,8107.134,11.876,1.433381,1.523138,2.956519,146.295,540.785,
Lumvorax V5 Reference,our_simulator,ghz,4,16384,4,True,0.188816,86772.329,21.185,0.321296,0.055532,0.376828,199.574,540.785,
Lumvorax V5 Reference,our_simulator,ghz,9,16384,9,True,0.191597,85512.809,46.974,0.285968,0.054868,0.340836,177.892,540.785,
Lumvorax V5 Reference,our_simulator,ghz,14,16384,14,True,0.196534,83364.895,71.235,0.30165,0.027427,0.329077,167.441,540.785,
Lumvorax V5 Reference,our_simulator,ghz,19,16384,19,True,0.241667,67795.674,78.62,0.305629,0.064313,0.369942,153.079,540.785,
Lumvorax V5 Reference,our_simulator,ghz,24,16384,24,True,1.874551,8740.225,12.803,1.219389,0.847662,2.067051,110.269,540.785,
